Date,Product,Category,Quantity,Price,Region
2025-01-25,Jacket,Clothing,2,4153,Hyderabad
2025-01-16,Hoodie,Clothing,5,826,Chennai
2025-02-14,T-Shirt,Clothing,9,4778,Delhi
2025-03-25,Socks,Clothing,7,1900,Mumbai
2025-02-11,Hoodie,Clothing,5,180,Delhi
2025-03-10,T-Shirt,Clothing,1,4532,Bangalore
2025-01-17,Jacket,Clothing,9,4777,Chennai
2025-04-08,T-Shirt,Clothing,17,1625,Hyderabad
2025-03-24,Jeans,Clothing,8,3524,Chennai
2025-01-22,Hoodie,Clothing,1,504,Delhi
2025-02-26,T-Shirt,Clothing,9,3090,Delhi
2025-02-19,T-Shirt,Clothing,14,4374,Hyderabad
2025-04-05,Socks,Clothing,10,270,Chennai
2025-03-25,Blazer,Clothing,3,2232,Bangalore
2025-02-25,Hoodie,Clothing,5,1021,Chennai
2025-03-18,T-Shirt,Clothing,5,332,Mumbai
2025-02-14,Blazer,Clothing,13,450,Bangalore
2025-02-05,Jeans,Clothing,2,2660,Bangalore
2025-02-01,Sneakers,Clothing,5,2197,Hyderabad
2025-02-28,Jacket,Clothing,11,4683,Bangalore
2025-04-01,Hoodie,Clothing,13,4644,Delhi
2025-03-10,T-Shirt,Clothing,5,1675,Chennai
2025-03-22,Cap,Clothing,8,783,Delhi
2025-03-23,Hoodie,Clothing,19,3266,Bangalore
2025-03-05,Cap,Clothing,5,4037,Delhi
2025-03-26,Cap,Clothing,8,664,Mumbai
2025-02-18,Blazer,Clothing,1,209,Chennai
2025-01-30,Jacket,Clothing,1,4631,Bangalore
2025-04-09,Sneakers,Clothing,2,3054,Hyderabad
2025-04-01,Jacket,Clothing,14,2906,Hyderabad
2025-02-22,Jacket,Clothing,13,3453,Mumbai
2025-04-12,Sneakers,Clothing,14,4065,Chennai
2025-02-10,Hoodie,Clothing,9,4774,Chennai
2025-03-25,Blazer,Clothing,17,4737,Bangalore
2025-03-21,Socks,Clothing,5,3795,Mumbai
2025-02-07,Cap,Clothing,4,1572,Delhi
2025-02-06,Hoodie,Clothing,7,3179,Hyderabad
2025-03-23,Jeans,Clothing,5,2517,Mumbai
2025-02-19,Jeans,Clothing,18,3658,Chennai
2025-03-05,Hoodie,Clothing,3,3635,Bangalore
2025-01-24,Hoodie,Clothing,19,3023,Bangalore
2025-04-11,Hoodie,Clothing,1,3987,Hyderabad
2025-01-24,Jacket,Clothing,14,914,Chennai
2025-02-17,Sneakers,Clothing,3,2762,Mumbai
2025-03-15,Jeans,Clothing,11,920,Delhi
2025-01-30,Socks,Clothing,12,2875,Hyderabad
2025-02-10,Cap,Clothing,9,3227,Bangalore
2025-04-10,T-Shirt,Clothing,15,3502,Delhi
2025-03-27,Sneakers,Clothing,19,3154,Hyderabad
2025-03-11,Jacket,Clothing,16,4132,Mumbai
2025-02-23,T-Shirt,Clothing,12,107,Hyderabad
2025-03-23,Socks,Clothing,2,2550,Hyderabad
2025-03-28,Hoodie,Clothing,13,2073,Hyderabad
2025-03-16,Sneakers,Clothing,13,159,Mumbai
2025-03-03,Blazer,Clothing,20,1647,Delhi
2025-03-14,Cap,Clothing,11,1357,Mumbai
2025-01-20,Jacket,Clothing,19,210,Bangalore
2025-03-29,Sneakers,Clothing,11,2020,Chennai
2025-03-03,Blazer,Clothing,6,3954,Hyderabad
2025-04-01,Blazer,Clothing,6,4876,Mumbai
2025-03-10,Sneakers,Clothing,8,2038,Delhi
2025-04-07,Hoodie,Clothing,9,1863,Bangalore
2025-02-17,T-Shirt,Clothing,3,2216,Delhi
