Date,Product,Category,Quantity,Price,Region
2025-02-06,Coffee,Grocery,18,1221,Delhi
2025-03-27,Coffee,Grocery,15,4639,Kolkata
2025-02-22,Coffee,Grocery,11,505,Mumbai
2025-02-24,Rice,Grocery,4,2501,Chennai
2025-03-01,Eggs,Grocery,8,224,Mumbai
2025-02-28,Eggs,Grocery,5,1923,Mumbai
2025-02-02,Tea,Grocery,10,3479,Delhi
2025-01-22,Lentils,Grocery,2,612,Delhi
2025-02-08,Eggs,Grocery,15,4111,Kolkata
2025-03-22,Bread,Grocery,16,2356,Delhi
2025-03-24,Milk,Grocery,15,2627,Chennai
2025-03-01,Rice,Grocery,16,1301,Delhi
2025-03-18,Milk,Grocery,12,111,Chennai
2025-03-28,Lentils,Grocery,1,3675,Mumbai
2025-03-09,Milk,Grocery,9,1964,Kolkata
2025-02-23,Butter,Grocery,17,2149,Chennai
2025-01-16,Rice,Grocery,11,4725,Chennai
2025-03-26,Rice,Grocery,1,2658,Delhi
2025-03-30,Eggs,Grocery,6,4858,Kolkata
2025-02-17,Coffee,Grocery,13,393,Kolkata
2025-03-14,Tea,Grocery,10,870,Chennai
2025-03-16,Eggs,Grocery,18,4097,Kolkata
2025-03-09,Butter,Grocery,12,4128,Delhi
2025-01-26,Butter,Grocery,8,2084,Mumbai
2025-01-27,Rice,Grocery,14,4734,Kolkata
2025-03-23,Milk,Grocery,3,4295,Delhi
2025-02-20,Tea,Grocery,10,249,Chennai
2025-03-08,Tea,Grocery,15,3350,Mumbai
2025-03-01,Bread,Grocery,17,252,Delhi
2025-01-28,Coffee,Grocery,8,3445,Mumbai
2025-04-05,Milk,Grocery,7,4261,Kolkata
2025-03-27,Lentils,Grocery,19,1659,Delhi
2025-01-18,Chips,Grocery,15,1952,Kolkata
2025-01-30,Rice,Grocery,15,4475,Mumbai
2025-04-13,Eggs,Grocery,12,263,Kolkata
2025-03-26,Tea,Grocery,12,1423,Kolkata
2025-03-04,Milk,Grocery,20,3211,Mumbai
2025-04-12,Lentils,Grocery,18,3865,Delhi
2025-03-26,Tea,Grocery,11,2693,Kolkata
2025-03-09,Rice,Grocery,7,4153,Chennai
2025-03-02,Tea,Grocery,13,4557,Delhi
2025-02-08,Lentils,Grocery,1,4087,Mumbai
2025-04-02,Lentils,Grocery,3,4194,Mumbai
2025-03-26,Tea,Grocery,2,1404,Mumbai
2025-04-15,Tea,Grocery,13,1765,Chennai
2025-03-17,Lentils,Grocery,7,4486,Chennai
2025-04-11,Milk,Grocery,2,3935,Mumbai
2025-01-16,Milk,Grocery,13,1133,Delhi
2025-02-19,Bread,Grocery,12,1944,Delhi
2025-01-26,Tea,Grocery,17,1694,Delhi
2025-02-21,Milk,Grocery,2,2167,Mumbai
2025-04-06,Eggs,Grocery,13,1059,Mumbai
2025-02-05,Eggs,Grocery,9,1680,Delhi
2025-02-25,Tea,Grocery,10,2086,Delhi
2025-03-10,Milk,Grocery,1,1641,Delhi
2025-03-30,Rice,Grocery,9,3394,Kolkata
2025-01-22,Bread,Grocery,6,2244,Chennai
2025-03-23,Rice,Grocery,14,2469,Delhi
2025-03-25,Eggs,Grocery,15,3311,Delhi
2025-01-28,Coffee,Grocery,3,593,Delhi
2025-02-09,Bread,Grocery,3,433,Kolkata
2025-01-17,Tea,Grocery,18,4860,Kolkata
2025-02-22,Bread,Grocery,6,4997,Mumbai
2025-01-16,Milk,Grocery,1,134,Mumbai
2025-02-20,Lentils,Grocery,11,3520,Mumbai
2025-03-17,Tea,Grocery,5,4138,Chennai
2025-03-06,Chips,Grocery,11,4499,Mumbai
2025-04-08,Coffee,Grocery,20,4365,Delhi
2025-02-10,Tea,Grocery,6,1851,Delhi
2025-02-10,Bread,Grocery,18,1594,Mumbai
